title,author,avg_rating,num_rating
Pygmy,Chuck Palahniuk,2.98,30390
"The Labours of Hercules (Hercule Poirot, #27)",Agatha Christie,3.76,30880
Luckiest Girl Alive,Jessica Knoll,3.54,254276
"Justice Hall (Mary Russell and Sherlock Holmes, #6)",Laurie R. King,4.23,15777
The Singing Creek Where the Willows Grow,Opal Whiteley,4.26,968
Byzantium,Stephen R. Lawhead,4.21,5366
Ireland,Frank Delaney,4.05,12001
Take a Thief (Valdemar #25),Mercedes Lackey,4.16,14091
Journey to Ixtlan: The Lessons of Don Juan,Carlos Castaneda,4.12,13693
"Burn (Breathless, #3)",Maya Banks,3.98,46661
Coming up for Air,George Orwell,3.78,20859
"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,3.81,45327
"The Bloody Crown of Conan (Conan the Cimmerian, #2)",Robert E. Howard,4.31,5307
"Among the Impostors (Shadow Children, #2)",Margaret Peterson Haddix,4.06,33256
There's No Such Place As Far Away,Richard Bach,3.95,4833
"Into the Still Blue (Under the Never Sky, #3)",Veronica Rossi,4.14,46993
The Holiness of God,R.C. Sproul,4.43,23376
"In Flight (Up in the Air, #1)",R.K. Lilley,4.07,79346
The Return of Philip Latinowicz,Miroslav Krleža,3.51,3018
Two Brothers,Ben Elton,4.39,15412
"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,3.91,54591
"Abby Cooper, Psychic Eye (Psychic Eye Mystery, #1)",Victoria Laurie,3.95,14817
Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,4.09,35
"The Missing Ones (D.I. Lottie Parker, #1)",Patricia Gibney,4.07,37382
The Wordy Shipmates,Sarah Vowell,3.68,23929
The Covenant,James A. Michener,4.22,21786
Dinner at the Homesick Restaurant / The Accidental Tourist / Breathing Lessons,Anne Tyler,4.12,753
"The Big Sleep / Farewell, My Lovely (Philip Marlowe, #1-2)",Raymond Chandler,4.22,943
"The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,3.9,6679
The Ringworld Engineers (Ringworld #2),Larry Niven,3.88,33631
"Altered (Altered, #1)",Jennifer Rush,4.01,19927
The Collected Poems of Emily Dickinson,Emily Dickinson,4.23,15624
The Bone Garden,Tess Gerritsen,4.07,33488
The Perfect Mother,Aimee Molloy,3.53,62315
"Fire from Heaven (Alexander the Great, #1)",Mary Renault,3.96,10114
Hallucinations,Oliver Sacks,3.93,24942
Night Sky with Exit Wounds,Ocean Vuong,4.18,48561
Yours (Mine #2),Julie Mannino,3.72,61
"Midnight Predator (Den of Shadows, #4)",Amelia Atwater-Rhodes,4.03,9008
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,3.93,87643
Gone to Soldiers,Marge Piercy,4.27,5107
"Eyes Like Stars (Théâtre Illuminata, #1)",Lisa Mantchev,3.72,12671
"Fire Star (The Last Dragon Chronicles, #3)",Chris d'Lacey,3.93,17784
"Unnatural Exposure (Kay Scarpetta, #8)",Patricia Cornwell,4.07,63199
Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,4.03,75568
"Edge of Dawn (Midnight Breed, #11)",Lara Adrian,4.23,13066
"Rush Too Far (Rosemary Beach, #4; Too Far, #4)",Abbi Glines,4.19,33762
Home: A Hidden Tale - Sinister Tales,Anna Gallegos,4.53,30
"And Another Thing... (The Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,3.57,33204
The Astronaut Wives Club,Lily Koppel,3.35,28328
The Witches Are Coming,Lindy West,4.1,26165
The Cyberiad,Stanisław Lem,4.14,13901
Measuring the World,Daniel Kehlmann,3.73,21657
زمن الخيول البيضاء,Ibrahim Nasrallah,4.43,11140
"City of Ghosts (Downside Ghosts, #3)",Stacia Kane,4.22,9418
"Unholy Magic (Downside Ghosts, #2)",Stacia Kane,4.07,10504
"I, Lucifer",Glen Duncan,3.6,9557
Five Point Someone: What Not to Do at IIT,Chetan Bhagat,3.43,92459
The Other,Thomas Tryon,3.98,22679
The Raft,S.A. Bodeen,3.8,17350
"Infected (Infected, #1)",Scott Sigler,3.83,22612
"Rainbow Valley (Anne of Green Gables, #7)",L.M. Montgomery,4.01,55600
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.31,46107
"The Goddess Hunt (Goddess Test, #1.5)",Aimee Carter,3.8,9553
"A Dangerous Collaboration (Veronica Speedwell, #4)",Deanna Raybourn,4.28,23706
The Wrong Family,Tarryn Fisher,3.47,79863
"Three Bags Full (Sheep Detective Story, #1)",Leonie Swann,3.63,16830
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Casey Cep,3.77,25923
Ours (Mine #3),Julie Mannino,3.87,63
Possessing the Secret of Joy,Alice Walker,4.09,15719
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady (Bloody Jack, #2)",L.A. Meyer,4.27,13135
"Beyond Tuesday Morning (9/11, #2)",Karen Kingsbury,4.35,12019
A Course in Miracles: Combined Volume,Helen Schucman,4.19,33630
"Nice Girls Don't Live Forever (Jane Jameson, #3)",Molly Harper,4.18,14993
Bidadari Bidadari Surga,Tere Liye,4.33,8505
"Everwild (The Skinjacker Trilogy, #2)",Neal Shusterman,4.21,14677
The Summer Book,Tove Jansson,4.01,53684
Freedom from the Known,J. Krishnamurti,4.29,11817
"Sometimes It Lasts (Sea Breeze, #5)",Abbi Glines,4.25,28037
"Library of the Dead (Will Piper, #1)",Glenn Cooper,3.78,17488
Saving Grace,Julie Garwood,4.26,29974
The Group,Mary McCarthy,3.68,17088
Improbable,Adam Fawer,4.15,16620
My Best Friend's Brother,M.J. Thompson,3.46,723
The Five Gates of Hell,Rupert Thomson,3.74,611
Bloom,Kevin Panetta,3.9,62166
Notes on an Execution,Danya Kukafka,4.04,135228
Lost Girls: An Unsolved American Mystery,Robert Kolker,3.61,26386
Underland: A Deep Time Journey,Robert Macfarlane,4.23,20450
"Born in Death (In Death, #23)",J.D. Robb,4.38,31506
Ark Angel (Alex Rider #6),Anthony Horowitz,4.12,49249
"The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling,4.07,13220
Endgame,Samuel Beckett,3.79,23912
The Collected Tales of Nikolai Gogol,Nikolai Gogol,4.35,15213
So Much Closer,Susane Colasanti,3.68,9619
"Dexter by Design (Dexter, #4)",Jeff Lindsay,3.76,28920
"Sleepyhead (Tom Thorne, #1)",Mark Billingham,3.83,19523
"A Perfect Blood (The Hollows, #10)",Kim Harrison,4.39,38200
"Sad Cypress (Hercule Poirot, #22)",Agatha Christie,3.94,45751
Meant to Be,Lauren Morrill,3.68,16965
Pygmy,Chuck Palahniuk,2.98,30390
"The Labours of Hercules (Hercule Poirot, #27)",Agatha Christie,3.76,30880
Luckiest Girl Alive,Jessica Knoll,3.54,254276
"Justice Hall (Mary Russell and Sherlock Holmes, #6)",Laurie R. King,4.23,15777
The Singing Creek Where the Willows Grow,Opal Whiteley,4.26,968
Byzantium,Stephen R. Lawhead,4.21,5366
Ireland,Frank Delaney,4.05,12001
Take a Thief (Valdemar #25),Mercedes Lackey,4.16,14091
Journey to Ixtlan: The Lessons of Don Juan,Carlos Castaneda,4.12,13693
"Burn (Breathless, #3)",Maya Banks,3.98,46661
Coming up for Air,George Orwell,3.78,20859
"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,3.81,45327
"The Bloody Crown of Conan (Conan the Cimmerian, #2)",Robert E. Howard,4.31,5307
"Among the Impostors (Shadow Children, #2)",Margaret Peterson Haddix,4.06,33256
There's No Such Place As Far Away,Richard Bach,3.95,4833
"Into the Still Blue (Under the Never Sky, #3)",Veronica Rossi,4.14,46993
The Holiness of God,R.C. Sproul,4.43,23376
"In Flight (Up in the Air, #1)",R.K. Lilley,4.07,79346
The Return of Philip Latinowicz,Miroslav Krleža,3.51,3018
Two Brothers,Ben Elton,4.39,15412
"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,3.91,54591
"Abby Cooper, Psychic Eye (Psychic Eye Mystery, #1)",Victoria Laurie,3.95,14817
Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,4.09,35
"The Missing Ones (D.I. Lottie Parker, #1)",Patricia Gibney,4.07,37382
The Wordy Shipmates,Sarah Vowell,3.68,23929
The Covenant,James A. Michener,4.22,21786
Dinner at the Homesick Restaurant / The Accidental Tourist / Breathing Lessons,Anne Tyler,4.12,753
"The Big Sleep / Farewell, My Lovely (Philip Marlowe, #1-2)",Raymond Chandler,4.22,943
"The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,3.9,6679
The Ringworld Engineers (Ringworld #2),Larry Niven,3.88,33631
"Altered (Altered, #1)",Jennifer Rush,4.01,19927
The Collected Poems of Emily Dickinson,Emily Dickinson,4.23,15624
The Bone Garden,Tess Gerritsen,4.07,33488
The Perfect Mother,Aimee Molloy,3.53,62315
"Fire from Heaven (Alexander the Great, #1)",Mary Renault,3.96,10114
Hallucinations,Oliver Sacks,3.93,24942
Night Sky with Exit Wounds,Ocean Vuong,4.18,48561
Yours (Mine #2),Julie Mannino,3.72,61
"Midnight Predator (Den of Shadows, #4)",Amelia Atwater-Rhodes,4.03,9008
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,3.93,87643
Gone to Soldiers,Marge Piercy,4.27,5107
"Eyes Like Stars (Théâtre Illuminata, #1)",Lisa Mantchev,3.72,12671
"Fire Star (The Last Dragon Chronicles, #3)",Chris d'Lacey,3.93,17784
"Unnatural Exposure (Kay Scarpetta, #8)",Patricia Cornwell,4.07,63199
Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,4.03,75568
"Edge of Dawn (Midnight Breed, #11)",Lara Adrian,4.23,13066
"Rush Too Far (Rosemary Beach, #4; Too Far, #4)",Abbi Glines,4.19,33762
Home: A Hidden Tale - Sinister Tales,Anna Gallegos,4.53,30
"And Another Thing... (The Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,3.57,33204
The Astronaut Wives Club,Lily Koppel,3.35,28328
The Witches Are Coming,Lindy West,4.1,26165
The Cyberiad,Stanisław Lem,4.14,13901
Measuring the World,Daniel Kehlmann,3.73,21657
زمن الخيول البيضاء,Ibrahim Nasrallah,4.43,11140
"City of Ghosts (Downside Ghosts, #3)",Stacia Kane,4.22,9418
"Unholy Magic (Downside Ghosts, #2)",Stacia Kane,4.07,10504
"I, Lucifer",Glen Duncan,3.6,9557
Five Point Someone: What Not to Do at IIT,Chetan Bhagat,3.43,92459
The Other,Thomas Tryon,3.98,22679
The Raft,S.A. Bodeen,3.8,17350
"Infected (Infected, #1)",Scott Sigler,3.83,22612
"Rainbow Valley (Anne of Green Gables, #7)",L.M. Montgomery,4.01,55600
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.31,46107
"The Goddess Hunt (Goddess Test, #1.5)",Aimee Carter,3.8,9553
"A Dangerous Collaboration (Veronica Speedwell, #4)",Deanna Raybourn,4.28,23706
The Wrong Family,Tarryn Fisher,3.47,79863
"Three Bags Full (Sheep Detective Story, #1)",Leonie Swann,3.63,16830
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Casey Cep,3.77,25923
Ours (Mine #3),Julie Mannino,3.87,63
Possessing the Secret of Joy,Alice Walker,4.09,15719
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady (Bloody Jack, #2)",L.A. Meyer,4.27,13135
"Beyond Tuesday Morning (9/11, #2)",Karen Kingsbury,4.35,12019
A Course in Miracles: Combined Volume,Helen Schucman,4.19,33630
"Nice Girls Don't Live Forever (Jane Jameson, #3)",Molly Harper,4.18,14993
Bidadari Bidadari Surga,Tere Liye,4.33,8505
"Everwild (The Skinjacker Trilogy, #2)",Neal Shusterman,4.21,14677
The Summer Book,Tove Jansson,4.01,53684
Freedom from the Known,J. Krishnamurti,4.29,11817
"Sometimes It Lasts (Sea Breeze, #5)",Abbi Glines,4.25,28037
"Library of the Dead (Will Piper, #1)",Glenn Cooper,3.78,17488
Saving Grace,Julie Garwood,4.26,29974
The Group,Mary McCarthy,3.68,17088
Improbable,Adam Fawer,4.15,16620
My Best Friend's Brother,M.J. Thompson,3.46,723
The Five Gates of Hell,Rupert Thomson,3.74,611
Bloom,Kevin Panetta,3.9,62166
Notes on an Execution,Danya Kukafka,4.04,135228
Lost Girls: An Unsolved American Mystery,Robert Kolker,3.61,26386
Underland: A Deep Time Journey,Robert Macfarlane,4.23,20450
"Born in Death (In Death, #23)",J.D. Robb,4.38,31506
Ark Angel (Alex Rider #6),Anthony Horowitz,4.12,49249
"The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling,4.07,13220
Endgame,Samuel Beckett,3.79,23912
The Collected Tales of Nikolai Gogol,Nikolai Gogol,4.35,15213
So Much Closer,Susane Colasanti,3.68,9619
"Dexter by Design (Dexter, #4)",Jeff Lindsay,3.76,28920
"Sleepyhead (Tom Thorne, #1)",Mark Billingham,3.83,19523
"A Perfect Blood (The Hollows, #10)",Kim Harrison,4.39,38200
"Sad Cypress (Hercule Poirot, #22)",Agatha Christie,3.94,45751
Meant to Be,Lauren Morrill,3.68,16965
Pygmy,Chuck Palahniuk,2.98,30390
"The Labours of Hercules (Hercule Poirot, #27)",Agatha Christie,3.76,30880
Luckiest Girl Alive,Jessica Knoll,3.54,254276
"Justice Hall (Mary Russell and Sherlock Holmes, #6)",Laurie R. King,4.23,15777
The Singing Creek Where the Willows Grow,Opal Whiteley,4.26,968
Byzantium,Stephen R. Lawhead,4.21,5366
Ireland,Frank Delaney,4.05,12001
Take a Thief (Valdemar #25),Mercedes Lackey,4.16,14091
Journey to Ixtlan: The Lessons of Don Juan,Carlos Castaneda,4.12,13693
"Burn (Breathless, #3)",Maya Banks,3.98,46661
Coming up for Air,George Orwell,3.78,20859
"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,3.81,45327
"The Bloody Crown of Conan (Conan the Cimmerian, #2)",Robert E. Howard,4.31,5307
"Among the Impostors (Shadow Children, #2)",Margaret Peterson Haddix,4.06,33256
There's No Such Place As Far Away,Richard Bach,3.95,4833
"Into the Still Blue (Under the Never Sky, #3)",Veronica Rossi,4.14,46993
The Holiness of God,R.C. Sproul,4.43,23376
"In Flight (Up in the Air, #1)",R.K. Lilley,4.07,79346
The Return of Philip Latinowicz,Miroslav Krleža,3.51,3018
Two Brothers,Ben Elton,4.39,15412
"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,3.91,54591
"Abby Cooper, Psychic Eye (Psychic Eye Mystery, #1)",Victoria Laurie,3.95,14817
Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,4.09,35
"The Missing Ones (D.I. Lottie Parker, #1)",Patricia Gibney,4.07,37382
The Wordy Shipmates,Sarah Vowell,3.68,23929
The Covenant,James A. Michener,4.22,21786
Dinner at the Homesick Restaurant / The Accidental Tourist / Breathing Lessons,Anne Tyler,4.12,753
"The Big Sleep / Farewell, My Lovely (Philip Marlowe, #1-2)",Raymond Chandler,4.22,943
"The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,3.9,6679
The Ringworld Engineers (Ringworld #2),Larry Niven,3.88,33631
"Altered (Altered, #1)",Jennifer Rush,4.01,19927
The Collected Poems of Emily Dickinson,Emily Dickinson,4.23,15624
The Bone Garden,Tess Gerritsen,4.07,33488
The Perfect Mother,Aimee Molloy,3.53,62315
"Fire from Heaven (Alexander the Great, #1)",Mary Renault,3.96,10114
Hallucinations,Oliver Sacks,3.93,24942
Night Sky with Exit Wounds,Ocean Vuong,4.18,48561
Yours (Mine #2),Julie Mannino,3.72,61
"Midnight Predator (Den of Shadows, #4)",Amelia Atwater-Rhodes,4.03,9008
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,3.93,87643
Gone to Soldiers,Marge Piercy,4.27,5107
"Eyes Like Stars (Théâtre Illuminata, #1)",Lisa Mantchev,3.72,12671
"Fire Star (The Last Dragon Chronicles, #3)",Chris d'Lacey,3.93,17784
"Unnatural Exposure (Kay Scarpetta, #8)",Patricia Cornwell,4.07,63199
Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,4.03,75568
"Edge of Dawn (Midnight Breed, #11)",Lara Adrian,4.23,13066
"Rush Too Far (Rosemary Beach, #4; Too Far, #4)",Abbi Glines,4.19,33762
Home: A Hidden Tale - Sinister Tales,Anna Gallegos,4.53,30
"And Another Thing... (The Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,3.57,33204
The Astronaut Wives Club,Lily Koppel,3.35,28328
The Witches Are Coming,Lindy West,4.1,26165
The Cyberiad,Stanisław Lem,4.14,13901
Measuring the World,Daniel Kehlmann,3.73,21657
زمن الخيول البيضاء,Ibrahim Nasrallah,4.43,11140
"City of Ghosts (Downside Ghosts, #3)",Stacia Kane,4.22,9418
"Unholy Magic (Downside Ghosts, #2)",Stacia Kane,4.07,10504
"I, Lucifer",Glen Duncan,3.6,9557
Five Point Someone: What Not to Do at IIT,Chetan Bhagat,3.43,92459
The Other,Thomas Tryon,3.98,22679
The Raft,S.A. Bodeen,3.8,17350
"Infected (Infected, #1)",Scott Sigler,3.83,22612
"Rainbow Valley (Anne of Green Gables, #7)",L.M. Montgomery,4.01,55600
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.31,46107
"The Goddess Hunt (Goddess Test, #1.5)",Aimee Carter,3.8,9553
"A Dangerous Collaboration (Veronica Speedwell, #4)",Deanna Raybourn,4.28,23706
The Wrong Family,Tarryn Fisher,3.47,79863
"Three Bags Full (Sheep Detective Story, #1)",Leonie Swann,3.63,16830
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Casey Cep,3.77,25923
Ours (Mine #3),Julie Mannino,3.87,63
Possessing the Secret of Joy,Alice Walker,4.09,15719
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady (Bloody Jack, #2)",L.A. Meyer,4.27,13135
"Beyond Tuesday Morning (9/11, #2)",Karen Kingsbury,4.35,12019
A Course in Miracles: Combined Volume,Helen Schucman,4.19,33630
"Nice Girls Don't Live Forever (Jane Jameson, #3)",Molly Harper,4.18,14993
Bidadari Bidadari Surga,Tere Liye,4.33,8505
"Everwild (The Skinjacker Trilogy, #2)",Neal Shusterman,4.21,14677
The Summer Book,Tove Jansson,4.01,53684
Freedom from the Known,J. Krishnamurti,4.29,11817
"Sometimes It Lasts (Sea Breeze, #5)",Abbi Glines,4.25,28037
"Library of the Dead (Will Piper, #1)",Glenn Cooper,3.78,17488
Saving Grace,Julie Garwood,4.26,29974
The Group,Mary McCarthy,3.68,17088
Improbable,Adam Fawer,4.15,16620
My Best Friend's Brother,M.J. Thompson,3.46,723
The Five Gates of Hell,Rupert Thomson,3.74,611
Bloom,Kevin Panetta,3.9,62166
Notes on an Execution,Danya Kukafka,4.04,135228
Lost Girls: An Unsolved American Mystery,Robert Kolker,3.61,26386
Underland: A Deep Time Journey,Robert Macfarlane,4.23,20450
"Born in Death (In Death, #23)",J.D. Robb,4.38,31506
Ark Angel (Alex Rider #6),Anthony Horowitz,4.12,49249
"The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling,4.07,13220
Endgame,Samuel Beckett,3.79,23912
The Collected Tales of Nikolai Gogol,Nikolai Gogol,4.35,15213
So Much Closer,Susane Colasanti,3.68,9619
"Dexter by Design (Dexter, #4)",Jeff Lindsay,3.76,28920
"Sleepyhead (Tom Thorne, #1)",Mark Billingham,3.83,19523
"A Perfect Blood (The Hollows, #10)",Kim Harrison,4.39,38200
"Sad Cypress (Hercule Poirot, #22)",Agatha Christie,3.94,45751
Meant to Be,Lauren Morrill,3.68,16965
Pygmy,Chuck Palahniuk,2.98,30390
"The Labours of Hercules (Hercule Poirot, #27)",Agatha Christie,3.76,30880
Luckiest Girl Alive,Jessica Knoll,3.54,254276
"Justice Hall (Mary Russell and Sherlock Holmes, #6)",Laurie R. King,4.23,15777
The Singing Creek Where the Willows Grow,Opal Whiteley,4.26,968
Byzantium,Stephen R. Lawhead,4.21,5366
Ireland,Frank Delaney,4.05,12001
Take a Thief (Valdemar #25),Mercedes Lackey,4.16,14091
Journey to Ixtlan: The Lessons of Don Juan,Carlos Castaneda,4.12,13693
"Burn (Breathless, #3)",Maya Banks,3.98,46661
Coming up for Air,George Orwell,3.78,20859
"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,3.81,45327
"The Bloody Crown of Conan (Conan the Cimmerian, #2)",Robert E. Howard,4.31,5307
"Among the Impostors (Shadow Children, #2)",Margaret Peterson Haddix,4.06,33256
There's No Such Place As Far Away,Richard Bach,3.95,4833
"Into the Still Blue (Under the Never Sky, #3)",Veronica Rossi,4.14,46993
The Holiness of God,R.C. Sproul,4.43,23376
"In Flight (Up in the Air, #1)",R.K. Lilley,4.07,79346
The Return of Philip Latinowicz,Miroslav Krleža,3.51,3018
Two Brothers,Ben Elton,4.39,15412
"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,3.91,54591
"Abby Cooper, Psychic Eye (Psychic Eye Mystery, #1)",Victoria Laurie,3.95,14817
Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,4.09,35
"The Missing Ones (D.I. Lottie Parker, #1)",Patricia Gibney,4.07,37382
The Wordy Shipmates,Sarah Vowell,3.68,23929
The Covenant,James A. Michener,4.22,21786
Dinner at the Homesick Restaurant / The Accidental Tourist / Breathing Lessons,Anne Tyler,4.12,753
"The Big Sleep / Farewell, My Lovely (Philip Marlowe, #1-2)",Raymond Chandler,4.22,943
"The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,3.9,6679
The Ringworld Engineers (Ringworld #2),Larry Niven,3.88,33631
"Altered (Altered, #1)",Jennifer Rush,4.01,19927
The Collected Poems of Emily Dickinson,Emily Dickinson,4.23,15624
The Bone Garden,Tess Gerritsen,4.07,33488
The Perfect Mother,Aimee Molloy,3.53,62315
"Fire from Heaven (Alexander the Great, #1)",Mary Renault,3.96,10114
Hallucinations,Oliver Sacks,3.93,24942
Night Sky with Exit Wounds,Ocean Vuong,4.18,48561
Yours (Mine #2),Julie Mannino,3.72,61
"Midnight Predator (Den of Shadows, #4)",Amelia Atwater-Rhodes,4.03,9008
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,3.93,87643
Gone to Soldiers,Marge Piercy,4.27,5107
"Eyes Like Stars (Théâtre Illuminata, #1)",Lisa Mantchev,3.72,12671
"Fire Star (The Last Dragon Chronicles, #3)",Chris d'Lacey,3.93,17784
"Unnatural Exposure (Kay Scarpetta, #8)",Patricia Cornwell,4.07,63199
Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,4.03,75568
"Edge of Dawn (Midnight Breed, #11)",Lara Adrian,4.23,13066
"Rush Too Far (Rosemary Beach, #4; Too Far, #4)",Abbi Glines,4.19,33762
Home: A Hidden Tale - Sinister Tales,Anna Gallegos,4.53,30
"And Another Thing... (The Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,3.57,33204
The Astronaut Wives Club,Lily Koppel,3.35,28328
The Witches Are Coming,Lindy West,4.1,26165
